,make,fuel-type,body-style,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
99,nissan,gas,hatchback,2324,four,120,97,27,34,8949
100,nissan,gas,sedan,2302,four,120,97,27,34,9549
101,nissan,gas,sedan,3095,six,181,152,17,22,13499
102,nissan,gas,wagon,3296,six,181,152,17,22,14399
103,nissan,gas,sedan,3060,six,181,152,19,25,13499
104,nissan,gas,hatchback,3071,six,181,160,19,25,17199
105,nissan,gas,hatchback,3139,six,181,200,17,23,19699
106,nissan,gas,hatchback,3139,six,181,160,19,25,18399
107,peugot,gas,sedan,3020,four,120,97,19,24,11900
108,peugot,diesel,sedan,3197,four,152,95,28,33,13200
109,peugot,gas,wagon,3230,four,120,97,19,24,12440
110,peugot,diesel,wagon,3430,four,152,95,25,25,13860
111,peugot,gas,sedan,3075,four,120,95,19,24,15580
112,peugot,diesel,sedan,3252,four,152,95,28,33,16900
113,peugot,gas,wagon,3285,four,120,95,19,24,16695
114,peugot,diesel,wagon,3485,four,152,95,25,25,17075
115,peugot,gas,sedan,3075,four,120,97,19,24,16630
116,peugot,diesel,sedan,3252,four,152,95,28,33,17950
117,peugot,gas,sedan,3130,four,134,142,18,24,18150
118,plymouth,gas,hatchback,1918,four,90,68,37,41,5572
119,plymouth,gas,hatchback,2128,four,98,102,24,30,7957
120,plymouth,gas,hatchback,1967,four,90,68,31,38,6229
121,plymouth,gas,sedan,1989,four,90,68,31,38,6692
122,plymouth,gas,sedan,2191,four,98,68,31,38,7609
123,plymouth,gas,wagon,2535,four,122,88,24,30,8921
124,plymouth,gas,hatchback,2818,four,156,145,19,24,12764
125,porsche,gas,hatchback,2778,four,151,143,19,27,22018
126,porsche,gas,hardtop,2756,six,194,207,17,25,32528
127,porsche,gas,hardtop,2756,six,194,207,17,25,34028
128,porsche,gas,convertible,2800,six,194,207,17,25,37028
132,saab,gas,hatchback,2658,four,121,110,21,28,11850
133,saab,gas,sedan,2695,four,121,110,21,28,12170
134,saab,gas,hatchback,2707,four,121,110,21,28,15040
135,saab,gas,sedan,2758,four,121,110,21,28,15510
136,saab,gas,hatchback,2808,four,121,160,19,26,18150
137,saab,gas,sedan,2847,four,121,160,19,26,18620
138,subaru,gas,hatchback,2050,four,97,69,31,36,5118
139,subaru,gas,hatchback,2120,four,108,73,26,31,7053
140,subaru,gas,hatchback,2240,four,108,73,26,31,7603
141,subaru,gas,sedan,2145,four,108,82,32,37,7126
142,subaru,gas,sedan,2190,four,108,82,28,33,7775
143,subaru,gas,sedan,2340,four,108,94,26,32,9960
144,subaru,gas,sedan,2385,four,108,82,24,25,9233
145,subaru,gas,sedan,2510,four,108,111,24,29,11259
146,subaru,gas,wagon,2290,four,108,82,28,32,7463
147,subaru,gas,wagon,2455,four,108,94,25,31,10198
148,subaru,gas,wagon,2420,four,108,82,23,29,8013
149,subaru,gas,wagon,2650,four,108,111,23,23,11694
150,toyota,gas,hatchback,1985,four,92,62,35,39,5348
151,toyota,gas,hatchback,2040,four,92,62,31,38,6338
152,toyota,gas,hatchback,2015,four,92,62,31,38,6488
153,toyota,gas,wagon,2280,four,92,62,31,37,6918
154,toyota,gas,wagon,2290,four,92,62,27,32,7898
155,toyota,gas,wagon,3110,four,92,62,27,32,8778
156,toyota,gas,sedan,2081,four,98,70,30,37,6938
157,toyota,gas,hatchback,2109,four,98,70,30,37,7198
158,toyota,diesel,sedan,2275,four,110,56,34,36,7898
159,toyota,diesel,hatchback,2275,four,110,56,38,47,7788
160,toyota,gas,sedan,2094,four,98,70,38,47,7738
161,toyota,gas,hatchback,2122,four,98,70,28,34,8358
162,toyota,gas,sedan,2140,four,98,70,28,34,9258
163,toyota,gas,sedan,2169,four,98,70,29,34,8058
164,toyota,gas,hatchback,2204,four,98,70,29,34,8238
165,toyota,gas,sedan,2265,four,98,112,26,29,9298
166,toyota,gas,hatchback,2300,four,98,112,26,29,9538
167,toyota,gas,hardtop,2540,four,146,116,24,30,8449
168,toyota,gas,hardtop,2536,four,146,116,24,30,9639
169,toyota,gas,hatchback,2551,four,146,116,24,30,9989
170,toyota,gas,hardtop,2679,four,146,116,24,30,11199
171,toyota,gas,hatchback,2714,four,146,116,24,30,11549
172,toyota,gas,convertible,2975,four,146,116,24,30,17669
173,toyota,gas,sedan,2326,four,122,92,29,34,8948
174,toyota,diesel,sedan,2480,four,110,73,30,33,10698
175,toyota,gas,hatchback,2414,four,122,92,27,32,9988
176,toyota,gas,sedan,2414,four,122,92,27,32,10898
177,toyota,gas,hatchback,2458,four,122,92,27,32,11248
178,toyota,gas,hatchback,2976,six,171,161,20,24,16558
179,toyota,gas,hatchback,3016,six,171,161,19,24,15998
180,toyota,gas,sedan,3131,six,171,156,20,24,15690
181,toyota,gas,wagon,3151,six,161,156,19,24,15750
182,volkswagen,diesel,sedan,2261,four,97,52,37,46,7775
183,volkswagen,gas,sedan,2209,four,109,85,27,34,7975
184,volkswagen,diesel,sedan,2264,four,97,52,37,46,7995
185,volkswagen,gas,sedan,2212,four,109,85,27,34,8195
186,volkswagen,gas,sedan,2275,four,109,85,27,34,8495
187,volkswagen,diesel,sedan,2319,four,97,68,37,42,9495
188,volkswagen,gas,sedan,2300,four,109,100,26,32,9995
189,volkswagen,gas,convertible,2254,four,109,90,24,29,11595
190,volkswagen,gas,hatchback,2221,four,109,90,24,29,9980
191,volkswagen,gas,sedan,2661,five,136,110,19,24,13295
192,volkswagen,diesel,sedan,2579,four,97,68,33,38,13845
193,volkswagen,gas,wagon,2563,four,109,88,25,31,12290
194,volvo,gas,sedan,2912,four,141,114,23,28,12940
195,volvo,gas,wagon,3034,four,141,114,23,28,13415
196,volvo,gas,sedan,2935,four,141,114,24,28,15985
197,volvo,gas,wagon,3042,four,141,114,24,28,16515
198,volvo,gas,sedan,3045,four,130,162,17,22,18420
199,volvo,gas,wagon,3157,four,130,162,17,22,18950
200,volvo,gas,sedan,2952,four,141,114,23,28,16845
201,volvo,gas,sedan,3049,four,141,160,19,25,19045
202,volvo,gas,sedan,3012,six,173,134,18,23,21485
203,volvo,diesel,sedan,3217,six,145,106,26,27,22470
204,volvo,gas,sedan,3062,four,141,114,19,25,22625
